pixel number,Galactic Longitude,Galactic Latitude,FIMS FUV (CU),GALEX FUV (CU),RASS xray band2,RASS xray band5,H-alpha,E(B-V),N(H I)
76,232.5,85.613,419.095,441.981,630.539,56.231,0.4051,0.016422,1.34E+20
77,247.5,85.613,397.643,465.332,553.547,52.402,0.3901,0.017377,1.26E+20
78,262.5,85.613,348.932,421.65,631.484,68.908,0.4795,0.016943,1.21E+20
79,277.5,85.613,338.775,451.725,451.667,56.453,0.6196,0.027205,1.93E+20
80,292.5,85.613,351.166,434.994,426.325,60.193,0.7836,0.027551,2.19E+20
81,307.5,85.613,367.186,467.973,411.522,62.718,0.6791,0.030517,2.37E+20
82,322.5,85.613,381.206,468.79,389.804,73.552,0.6845,0.025958,2.10E+20
83,337.5,85.613,354.749,414.575,481.69,77.778,0.5348,0.020208,1.63E+20
84,352.5,85.613,329.615,405.021,627.311,79.391,0.5083,0.017615,1.31E+20
85,6.429,84.882,308.217,362.548,560.297,75.848,0.3641,0.015628,1.27E+20
86,19.286,84.882,283.263,352.231,582.444,73.953,0.3771,0.012498,1.30E+20
87,32.143,84.882,291.956,416.97,578.813,61.493,0.345,0.011329,1.08E+20
88,45,84.882,319.947,327.356,553.543,51.945,0.306,0.0113,1.09E+20
89,57.857,84.882,346.24,312.251,575.868,69.49,0.2438,0.00962,1.04E+20
90,70.714,84.882,333.524,328.364,499.003,57.276,0.2493,0.010976,1.10E+20
91,83.571,84.882,316.358,348.218,612.196,65.684,0.2206,0.01084,1.15E+20
92,96.429,84.882,297.454,381.886,626.048,56.73,0.2055,0.012203,1.23E+20
93,109.286,84.882,282.306,497.471,546.184,48.7,0.2335,0.014866,1.42E+20
94,122.143,84.882,305.727,431.23,520.485,67.706,0.2515,0.015148,1.39E+20
95,135,84.882,335.429,354.527,560.909,69.683,0.3427,0.014112,1.26E+20
96,147.857,84.882,327.473,355.179,569.663,54.804,0.5249,0.015054,1.34E+20
97,160.714,84.882,317.725,350.296,536.257,52.339,0.437,0.015772,1.48E+20
98,173.571,84.882,305.298,350.525,529.327,50.633,0.4438,0.017443,1.61E+20
99,186.429,84.882,322.91,391.598,437.213,42.527,0.4827,0.021778,1.88E+20
100,199.286,84.882,356.897,371.385,528.458,57.07,0.4397,0.019365,1.71E+20
101,212.143,84.882,421.805,389.524,576.62,56.119,0.3475,0.021296,1.70E+20
102,225,84.882,470.766,384.668,624.015,70.301,0.3808,0.01961,1.47E+20
103,237.857,84.882,409.23,NaN,559.798,63.393,0.3585,0.018294,1.49E+20
104,250.714,84.882,392.916,457.296,578.628,62.909,0.3381,0.017286,1.20E+20
105,263.571,84.882,355.261,438.921,635.762,68.635,0.4397,0.016549,1.22E+20
106,276.429,84.882,346.27,474.239,414.077,60.2,0.4645,0.029069,2.23E+20
107,289.286,84.882,345.734,447.474,316.198,54.965,0.6695,0.035353,2.67E+20
108,302.143,84.882,365.898,447.105,337.419,58.607,0.6552,0.036632,2.90E+20
109,315,84.882,415.896,487.666,395.264,69.411,0.563,0.037465,2.76E+20
110,327.857,84.882,402.643,433.367,437.616,76.17,0.5272,0.024225,2.15E+20
111,340.714,84.882,355.408,406.411,551.475,82.034,0.453,0.016936,1.55E+20
112,353.571,84.882,314.521,377.491,594.153,78.075,0.4031,0.014654,1.24E+20
113,5.625,84.15,296.173,343.089,604.537,64.765,0.3324,0.013298,1.11E+20
114,16.875,84.15,280.163,309.563,513.517,68.026,0.3737,0.013275,1.09E+20
115,28.125,84.15,284.619,312.023,548.689,63.397,0.4036,0.015354,1.23E+20
116,39.375,84.15,306.808,341.631,582.729,62.98,0.3558,0.013029,1.19E+20
117,50.625,84.15,367.054,354.146,559.175,73.297,0.2702,0.012386,1.13E+20
118,61.875,84.15,353.36,327.684,476.347,61.932,0.2342,0.010771,1.09E+20
119,73.125,84.15,342.127,343.66,563.538,83.827,0.2688,0.010634,1.05E+20
120,84.375,84.15,317.847,359.797,617.473,70.705,0.2282,0.011407,1.15E+20
121,95.625,84.15,293.198,335.499,622.38,61.068,0.2453,0.012232,1.16E+20
122,106.875,84.15,281.793,424.739,587.311,60.948,0.2401,0.013493,1.21E+20
123,118.125,84.15,291.688,345.667,563.595,45.213,0.2589,0.013875,1.26E+20
124,129.375,84.15,314.991,319.224,561.414,66.898,0.2798,0.013236,1.19E+20
125,140.625,84.15,382.961,393.53,503.053,73.094,0.3988,0.015302,1.29E+20
126,151.875,84.15,363.16,393.879,586.618,56.213,0.4838,0.014309,1.25E+20
127,163.125,84.15,319.24,349.637,562.775,61.609,0.3477,0.013346,1.31E+20
128,174.375,84.15,323.789,327.772,569.62,50.129,0.3639,0.015218,1.49E+20
129,185.625,84.15,342.254,366.808,506.633,50.195,0.4104,0.019444,1.74E+20
130,196.875,84.15,368.465,385.415,476.914,60.372,0.4383,0.022528,1.91E+20
131,208.125,84.15,427.615,367.427,567.993,67.643,0.3645,0.020567,1.68E+20
132,219.375,84.15,460.802,NaN,632.108,71.535,0.3576,0.021853,1.81E+20
133,230.625,84.15,424.501,NaN,572.92,60.103,0.3319,0.020317,1.74E+20
134,241.875,84.15,382.981,361.669,509.688,73.913,0.3323,0.020771,1.49E+20
135,253.125,84.15,374.46,428.593,580.802,68.809,0.3288,0.016977,1.22E+20
136,264.375,84.15,379.817,508.37,619.49,52.975,0.4517,0.02152,1.46E+20
137,275.625,84.15,361.825,473.239,406.43,52.471,0.5792,0.028867,2.23E+20
138,286.875,84.15,340.561,473.32,288.111,53.431,0.6391,0.038213,2.86E+20
139,298.125,84.15,355.13,455.981,290.477,50.288,0.6834,0.039047,3.05E+20
140,309.375,84.15,393.75,536.108,275.499,74.023,0.5986,0.054366,3.44E+20
141,320.625,84.15,412.689,485.806,411.437,69.521,0.4715,0.043913,2.98E+20
142,331.875,84.15,426.188,521.231,440.735,63.017,0.4588,0.033679,2.63E+20
143,343.125,84.15,364.83,395.341,589.572,69.033,0.4394,0.018008,1.53E+20
144,354.375,84.15,320.637,351.163,636.794,56.783,0.4506,0.013226,1.17E+20
145,5,83.418,293.958,328.083,599.432,60.413,0.3196,0.01158,1.11E+20
146,15,83.418,292.195,303.754,610.102,60.429,0.3417,0.011871,1.01E+20
147,25,83.418,282.437,320.46,545.974,60.888,0.3662,0.017287,1.34E+20
148,35,83.418,277.665,363.39,514.445,76.711,0.4321,0.016872,1.49E+20
149,45,83.418,309.419,345.942,546.172,67.874,0.3196,0.01562,1.35E+20
150,55,83.418,335.164,335.751,535.581,68.501,0.2448,0.011977,1.24E+20
151,65,83.418,393.206,385.077,538.537,71.061,0.2299,0.011092,1.07E+20
152,75,83.418,350.123,371.332,636.278,70.949,0.2587,0.010809,1.01E+20
153,85,83.418,324.061,349.373,566.792,68.771,0.1747,0.011454,1.22E+20
154,95,83.418,306.063,322.105,606.405,52.873,0.2776,0.011386,1.19E+20
155,105,83.418,291.639,332.756,595.823,70.246,0.2674,0.011914,1.14E+20
156,115,83.418,318.026,390.377,528.102,53.007,0.2854,0.01395,1.28E+20
157,125,83.418,314.499,317.174,543.425,57.88,0.3159,0.013423,1.24E+20
158,135,83.418,343.486,332.715,584.174,64.823,0.333,0.014952,1.33E+20
159,145,83.418,350.479,418.508,515.889,48.884,0.4181,0.017291,1.54E+20
160,155,83.418,344.205,390.545,572.97,51.246,0.3826,0.014584,1.42E+20
161,165,83.418,328.762,326.829,568.825,58.682,0.3923,0.013696,1.31E+20
162,175,83.418,343.901,331.639,577.881,55.825,0.3698,0.017129,1.49E+20
163,185,83.418,366.108,362.324,488.351,64.317,0.4195,0.020336,1.88E+20
164,195,83.418,391.521,416.113,512.707,52.904,0.4187,0.023555,2.16E+20
165,205,83.418,420.648,374.904,475.939,54.377,0.3828,0.020993,1.97E+20
166,215,83.418,449.054,397.052,500.874,75.306,0.3672,0.024542,2.04E+20
167,225,83.418,454.872,386.679,596.143,87.685,0.3406,0.023231,1.92E+20
168,235,83.418,398.29,354.202,525.727,55.859,0.2641,0.020795,1.78E+20
169,245,83.418,360.346,397.143,568.304,53.288,0.3229,0.020226,1.46E+20
170,255,83.418,375.316,437.546,634.557,65.34,0.3476,0.018615,1.45E+20
171,265,83.418,391.445,472.704,520.707,55.773,0.4665,0.024654,1.92E+20
172,275,83.418,349.431,442.269,366.255,59.945,0.5804,0.031583,2.62E+20
173,285,83.418,326.632,425.086,350.17,65.627,0.608,0.034335,2.62E+20
